peak	chr	start	end	length	pileup	neg.log10p	fold.enrichment	neg.log10.q	tag	d	i.chr	i.start	i.end	id	ensembl.id	strand	gene.type	rep3.match
nup153_broad_peak_20257	chr2	132966504	132968404	1901	9.93	548.229	421.403	304.323	GAP	16722179	chr2	149690582	149790582					R1_R2_R3_10kb
nup153_broad_peak_20257	chr2	132966504	132968404	1901	9.93	548.229	421.403	304.323	GENE	0	chr2	132905164	133015542	ANKRD30BL	ENSG00000163046	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_20267	chr2	132997000	133000437	3438	15.72	808.031	459.192	532.017	LAD	0	chr2	132587006	133030827	chr2_132587006_133030827				R1_R2_R3_10kb
nup153_broad_peak_20267	chr2	132997000	133000437	3438	15.72	808.031	459.192	532.017	GAP	16690146	chr2	149690582	149790582					R1_R2_R3_10kb
nup153_broad_peak_20267	chr2	132997000	133000437	3438	15.72	808.031	459.192	532.017	GENE	0	chr2	132905164	133015542	ANKRD30BL	ENSG00000163046	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_24577	chr3	50723844	50725146	1303	11.53	498.485	354.553	263.021	LAD	27750	chr3	50752895	50772274	chr3_50752895_50772274				R1_R2_R3_10kb
nup153_broad_peak_24577	chr3	50723844	50725146	1303	11.53	498.485	354.553	263.021	GAP	15445125	chr3	66170270	66270270					R1_R2_R3_10kb
nup153_broad_peak_24577	chr3	50723844	50725146	1303	11.53	498.485	354.553	263.021	GENE	0	chr3	50712672	51421629	DOCK3	ENSG00000088538	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_29638	chr5	95082085	95083520	1436	9.27	686.646	511.155	422.164	LAD	43161	chr5	95017595	95038925	chr5_95017595_95038925				R1_R2_R3_10kb
nup153_broad_peak_29638	chr5	95082085	95083520	1436	9.27	686.646	511.155	422.164	GAP	3395958	chr5	91636128	91686128					R1_R2_R3_10kb
nup153_broad_peak_29638	chr5	95082085	95083520	1436	9.27	686.646	511.155	422.164	GENE	0	chr5	95049226	95160087	RHOBTB3	ENSG00000164292	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_29802	chr5	112731391	112732663	1273	9.77	592.809	429.768	342.562	LAD	2299	chr5	112734961	112763905	chr5_112734961_112763905				R1_R2_R3_10kb
nup153_broad_peak_29802	chr5	112731391	112732663	1273	9.77	592.809	429.768	342.562	GAP	21045264	chr5	91636128	91686128					R1_R2_R3_10kb
nup153_broad_peak_29802	chr5	112731391	112732663	1273	9.77	592.809	429.768	342.562	GENE	0	chr5	112357796	112824527	MCC	ENSG00000171444	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_29802	chr5	112731391	112732663	1273	9.77	592.809	429.768	342.562	GENE	0	chr5	112658725	112772871	CTD-2201G3.1	ENSG00000232633	+	antisense	R1_R2_R3_10kb
nup153_broad_peak_29882	chr5	121355918	121357985	2068	12.87	759.322	504.344	482.526	LAD	0	chr5	121314719	122085330	chr5_121314719_122085330				R1_R2_R3_10kb
nup153_broad_peak_29882	chr5	121355918	121357985	2068	12.87	759.322	504.344	482.526	GAP	17429089	chr5	138787073	138837073					R1_R2_R3_10kb
nup153_broad_peak_29882	chr5	121355918	121357985	2068	12.87	759.322	504.344	482.526	GENE	0	chr5	121297656	121411265	SRFBP1	ENSG00000151304	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_29929	chr5	126286285	126287389	1105	15.63	101.306	593.057	71.124	LAD	0	chr5	126223289	126360915	chr5_126223289_126360915				R1_R2_R3_10kb
nup153_broad_peak_29929	chr5	126286285	126287389	1105	15.63	101.306	593.057	71.124	GAP	12499685	chr5	138787073	138837073					R1_R2_R3_10kb
nup153_broad_peak_29929	chr5	126286285	126287389	1105	15.63	101.306	593.057	71.124	GENE	0	chr5	126203406	126366500	Mar-03	ENSG00000173926	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_2997	chr1	217791504	217792639	1136	8.71	563.241	432.549	317.117	LAD	0	chr1	214843540	218450083	chr1_214843540_218450083				R1_R2_R3_10kb
nup153_broad_peak_2997	chr1	217791504	217792639	1136	8.71	563.241	432.549	317.117	GAP	5955208	chr1	223747846	223797846					R1_R2_R3_10kb
nup153_broad_peak_2997	chr1	217791504	217792639	1136	8.71	563.241	432.549	317.117	GENE	0	chr1	217600334	217804424	GPATCH2	ENSG00000092978	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_31822	chr6	89042651	89044102	1452	10.69	59.327	432.779	343.742	LAD	0	chr6	88646454	89153982	chr6_88646454_89153982				R1_R2_R3_10kb
nup153_broad_peak_31822	chr6	89042651	89044102	1452	10.69	59.327	432.779	343.742	GAP	6636442	chr6	95680543	95830543					R1_R2_R3_10kb
nup153_broad_peak_31822	chr6	89042651	89044102	1452	10.69	59.327	432.779	343.742	GENE	0	chr6	89008669	89130752	RP11-459O1.2	ENSG00000234426	-	lincRNA	R1_R2_R3_10kb
nup153_broad_peak_33033	chr7	8026432	8027666	1235	9.91	729.039	526.343	459.807	LAD	17829	chr7	8045494	8062187	chr7_8045494_8062187				R1_R2_R3_10kb
nup153_broad_peak_33033	chr7	8026432	8027666	1235	9.91	729.039	526.343	459.807	GAP	7743949	chr7	232484	282484					R1_R2_R3_10kb
nup153_broad_peak_33033	chr7	8026432	8027666	1235	9.91	729.039	526.343	459.807	GENE	0	chr7	7680342	8043689	RPA3-AS1	ENSG00000219545	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_33033	chr7	8026432	8027666	1235	9.91	729.039	526.343	459.807	GENE	0	chr7	8008425	8133902	GLCCI1	ENSG00000106415	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_33444	chr7	33409445	33410544	1100	9.61	712.592	527.926	441.534	LAD	0	chr7	33187729	33788499	chr7_33187729_33788499				R1_R2_R3_10kb
nup153_broad_peak_33444	chr7	33409445	33410544	1100	9.61	712.592	527.926	441.534	GAP	16960088	chr7	50370631	50410631					R1_R2_R3_10kb
nup153_broad_peak_33444	chr7	33409445	33410544	1100	9.61	712.592	527.926	441.534	GENE	0	chr7	33168856	33645680	BBS9	ENSG00000122507	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_34032	chr7	70612288	70613887	1600	12.87	105.086	656.074	748.787	LAD	0	chr7	70292190	71891334	chr7_70292190_71891334				R1_R2_R3_10kb
nup153_broad_peak_34032	chr7	70612288	70613887	1600	12.87	105.086	656.074	748.787	GAP	4101838	chr7	74715724	74765724					R1_R2_R3_10kb
nup153_broad_peak_34032	chr7	70612288	70613887	1600	12.87	105.086	656.074	748.787	GENE	0	chr7	70597155	71178585	WBSCR17	ENSG00000185274	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_34035	chr7	70785713	70786797	1085	9.71	722.479	532.687	449.748	LAD	0	chr7	70292190	71891334	chr7_70292190_71891334				R1_R2_R3_10kb
nup153_broad_peak_34035	chr7	70785713	70786797	1085	9.71	722.479	532.687	449.748	GAP	3928928	chr7	74715724	74765724					R1_R2_R3_10kb
nup153_broad_peak_34035	chr7	70785713	70786797	1085	9.71	722.479	532.687	449.748	GENE	0	chr7	70597155	71178585	WBSCR17	ENSG00000185274	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_3421	chr1	243475510	243476603	1094	14.35	618.106	384.797	364.613	LAD	99480	chr1	243296360	243376031	chr1_243296360_243376031				R1_R2_R3_10kb
nup153_broad_peak_3421	chr1	243475510	243476603	1094	14.35	618.106	384.797	364.613	GAP	5431608	chr1	248908210	249058210					R1_R2_R3_10kb
nup153_broad_peak_3421	chr1	243475510	243476603	1094	14.35	618.106	384.797	364.613	GENE	0	chr1	243419320	243663394	SDCCAG8	ENSG00000054282	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_35198	chr8	2959019	2960407	1389	11.91	510.803	356.736	275.321	LAD	23638	chr8	2984044	3319171	chr8_2984044_3319171				R1_R2_R3_10kb
nup153_broad_peak_35198	chr8	2959019	2960407	1389	11.91	510.803	356.736	275.321	GAP	2949020	chr8	0	10000					R1_R2_R3_10kb
nup153_broad_peak_35198	chr8	2959019	2960407	1389	11.91	510.803	356.736	275.321	GENE	0	chr8	2792875	4852494	CSMD1	ENSG00000183117	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_35740	chr8	38932105	38933215	1111	9.71	460.424	365.134	232.352	LAD	0	chr8	38895444	39815664	chr8_38895444_39815664				R1_R2_R3_10kb
nup153_broad_peak_35740	chr8	38932105	38933215	1111	9.71	460.424	365.134	232.352	GAP	4905673	chr8	43838887	46838887					R1_R2_R3_10kb
nup153_broad_peak_35740	chr8	38932105	38933215	1111	9.71	460.424	365.134	232.352	GENE	0	chr8	38854388	38962663	ADAM9	ENSG00000168615	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_35758	chr8	40427681	40428758	1078	18.52	18.031	97.144	143.021	LAD	0	chr8	40041181	40550380	chr8_40041181_40550380				R1_R2_R3_10kb
nup153_broad_peak_35758	chr8	40427681	40428758	1078	18.52	18.031	97.144	143.021	GAP	3410130	chr8	43838887	46838887					R1_R2_R3_10kb
nup153_broad_peak_35758	chr8	40427681	40428758	1078	18.52	18.031	97.144	143.021	GENE	0	chr8	40388109	40755352	ZMAT4	ENSG00000165061	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_36281	chr8	81882038	81883661	1624	11.28	442.237	332.896	217.098	LAD	58824	chr8	81798507	81823215	chr8_81798507_81823215				R1_R2_R3_10kb
nup153_broad_peak_36281	chr8	81882038	81883661	1624	11.28	442.237	332.896	217.098	GAP	4692791	chr8	86576451	86726451					R1_R2_R3_10kb
nup153_broad_peak_36281	chr8	81882038	81883661	1624	11.28	442.237	332.896	217.098	GENE	0	chr8	81880045	82024303	PAG1	ENSG00000076641	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_37227	chr9	13103779	13104803	1025	7.02	473.726	398.929	240.895	LAD	0	chr9	7805761	14295426	chr9_7805761_14295426				R1_R2_R3_10kb
nup153_broad_peak_37227	chr9	13103779	13104803	1025	7.02	473.726	398.929	240.895	GAP	13093780	chr9	0	10000					R1_R2_R3_10kb
nup153_broad_peak_37227	chr9	13103779	13104803	1025	7.02	473.726	398.929	240.895	GENE	901	chr9	13105703	13279589	MPDZ	ENSG00000107186	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_37632	chr9	66832679	66836192	3514	52.31	132.044	331.786	994.441	LAD	0	chr9	66664195	66863343	chr9_66664195_66863343				R1_R2_R3_10kb
nup153_broad_peak_37632	chr9	66832679	66836192	3514	52.31	132.044	331.786	994.441	GAP	27152	chr9	66863343	66913343					R1_R2_R3_10kb
nup153_broad_peak_37632	chr9	66832679	66836192	3514	52.31	132.044	331.786	994.441	GENE	471	chr9	66836662	66836791	RP11-318K12.3	ENSG00000270092	+	pseudogene	R1_R2_R3_10kb
nup153_broad_peak_37784	chr9	75274246	75276405	2160	10.35	458.741	341.971	230.491	LAD	0	chr9	74994221	75723970	chr9_74994221_75723970				R1_R2_R3_10kb
nup153_broad_peak_37784	chr9	75274246	75276405	2160	10.35	458.741	341.971	230.491	GAP	4438779	chr9	70735468	70835468					R1_R2_R3_10kb
nup153_broad_peak_37784	chr9	75274246	75276405	2160	10.35	458.741	341.971	230.491	GENE	0	chr9	75136717	75451267	TMC1	ENSG00000165091	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_4158	chr10	39076249	39077275	1027	8.44	459.786	372.508	231.337	LAD	0	chr10	38868835	39154935	chr10_38868835_39154935				R1_R2_R3_10kb
nup153_broad_peak_4158	chr10	39076249	39077275	1027	8.44	459.786	372.508	231.337	GAP	77661	chr10	39154935	39254935					R1_R2_R3_10kb
nup153_broad_peak_4158	chr10	39076249	39077275	1027	8.44	459.786	372.508	231.337	GENE	11	chr10	39076135	39076239	RP11-96F8.1	ENSG00000233832	+	pseudogene	R1_R2_R3_10kb
nup153_broad_peak_4159	chr10	39077766	39080480	2715	23.3	115.648	49.872	847.619	LAD	0	chr10	38868835	39154935	chr10_38868835_39154935				R1_R2_R3_10kb
nup153_broad_peak_4159	chr10	39077766	39080480	2715	23.3	115.648	49.872	847.619	GAP	74456	chr10	39154935	39254935					R1_R2_R3_10kb
nup153_broad_peak_4159	chr10	39077766	39080480	2715	23.3	115.648	49.872	847.619	GENE	1528	chr10	39076135	39076239	RP11-96F8.1	ENSG00000233832	+	pseudogene	R1_R2_R3_10kb
nup153_broad_peak_4160	chr10	39081122	39082884	1763	13.16	569.501	383.726	322.495	LAD	0	chr10	38868835	39154935	chr10_38868835_39154935				R1_R2_R3_10kb
nup153_broad_peak_4160	chr10	39081122	39082884	1763	13.16	569.501	383.726	322.495	GAP	72052	chr10	39154935	39254935					R1_R2_R3_10kb
nup153_broad_peak_4160	chr10	39081122	39082884	1763	13.16	569.501	383.726	322.495	GENE	4884	chr10	39076135	39076239	RP11-96F8.1	ENSG00000233832	+	pseudogene	R1_R2_R3_10kb
nup153_broad_peak_6758	chr11	84887282	84888391	1110	18.76	181.569	983.288	14.432	LAD	0	chr11	83013952	85304242	chr11_83013952_85304242				R1_R2_R3_10kb
nup153_broad_peak_6758	chr11	84887282	84888391	1110	18.76	181.569	983.288	14.432	GAP	2799988	chr11	87688378	87738378					R1_R2_R3_10kb
nup153_broad_peak_6758	chr11	84887282	84888391	1110	18.76	181.569	983.288	14.432	GENE	0	chr11	83166055	85338966	DLG2	ENSG00000150672	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_6762	chr11	85292953	85293964	1012	11.39	495.956	355.073	261.697	LAD	0	chr11	83013952	85304242	chr11_83013952_85304242				R1_R2_R3_10kb
nup153_broad_peak_6762	chr11	85292953	85293964	1012	11.39	495.956	355.073	261.697	GAP	2394415	chr11	87688378	87738378					R1_R2_R3_10kb
nup153_broad_peak_6762	chr11	85292953	85293964	1012	11.39	495.956	355.073	261.697	GENE	0	chr11	83166055	85338966	DLG2	ENSG00000150672	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_7690	chr12	11545658	11547117	1460	9.65	532.257	408.346	291.624	LAD	10418	chr12	11347734	11535241	chr12_11347734_11535241				R1_R2_R3_10kb
nup153_broad_peak_7690	chr12	11545658	11547117	1460	9.65	532.257	408.346	291.624	GAP	4305783	chr12	7189876	7239876					R1_R2_R3_10kb
nup153_broad_peak_7690	chr12	11545658	11547117	1460	9.65	532.257	408.346	291.624	GENE	0	chr12	11504757	11548500	PRB1	ENSG00000251655	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_7690	chr12	11545658	11547117	1460	9.65	532.257	408.346	291.624	GENE	0	chr12	11544476	11653975	PRB2	ENSG00000121335	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_8540	chr12	76295287	76296471	1185	10.14	451.435	355.714	226.647	LAD	0	chr12	76063260	76330026	chr12_76063260_76330026				R1_R2_R3_10kb
nup153_broad_peak_8540	chr12	76295287	76296471	1185	10.14	451.435	355.714	226.647	GAP	33077000	chr12	109373470	109423470					R1_R2_R3_10kb
nup153_broad_peak_8540	chr12	76295287	76296471	1185	10.14	451.435	355.714	226.647	GENE	0	chr12	75956982	76377795	RP11-114H23.1	ENSG00000258077	-	lincRNA	R1_R2_R3_10kb
