peak	chr	start	end	length	pileup	neg.log10p	fold.enrichment	neg.log10.q	tag	d	i.chr	i.start	i.end	id	ensembl.id	strand	gene.type	rep3.match
nup153_broad_peak_12396	chr15	45941463	45942480	1018	10.6	537.388	392.343	296.866	GENE	0	chr15	45923346	45983492	SQRDL	ENSG00000137767	+	protein_coding	 
nup153_broad_peak_12398	chr15	45981959	45983051	1093	12.05	598.783	420.609	346.561	GENE	0	chr15	45923346	45983492	SQRDL	ENSG00000137767	+	protein_coding	 
nup153_broad_peak_12403	chr15	46127708	46129598	1891	12.2	102.481	657.124	72.249	GENE	0	chr15	45997276	46223267	RP11-718O11.1	ENSG00000259200	+	lincRNA	 
nup153_broad_peak_12426	chr15	47831381	47832452	1072	13.36	907.029	580.206	615.273	GENE	0	chr15	47476298	48066420	SEMA6D	ENSG00000137872	+	protein_coding	 
nup153_broad_peak_12431	chr15	48040973	48042493	1521	9.8	747.276	52.503	482.376	GENE	0	chr15	47476298	48066420	SEMA6D	ENSG00000137872	+	protein_coding	 
nup153_broad_peak_12452	chr15	49486784	49487895	1112	8.7	528.055	408.742	287.587	GENE	0	chr15	49447853	49660066	GALK2	ENSG00000156958	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_12542	chr15	56002815	56003906	1092	11.65	524.839	369.578	288.295	GENE	0	chr15	55903744	56035288	PRTG	ENSG00000166450	-	protein_coding	 
nup153_broad_peak_12550	chr15	56722591	56723683	1093	8.6	620.667	478.053	361.152	GENE	0	chr15	56536207	56738195	TEX9	ENSG00000151575	+	protein_coding	 
nup153_broad_peak_12550	chr15	56722591	56723683	1093	8.6	620.667	478.053	361.152	GENE	0	chr15	56713742	56757335	MNS1	ENSG00000138587	-	protein_coding	 
nup153_broad_peak_1256	chr1	67039418	67040552	1135	17.41	149.546	824.772	114.696	GENE	0	chr1	66999066	67213982	SGIP1	ENSG00000118473	+	protein_coding	 
nup153_broad_peak_1257	chr1	67140912	67141931	1020	8.09	570.541	452.447	320.101	GENE	0	chr1	66999066	67213982	SGIP1	ENSG00000118473	+	protein_coding	 
nup153_broad_peak_1257	chr1	67140912	67141931	1020	8.09	570.541	452.447	320.101	GENE	0	chr1	67131547	67142710	AL139147.1	ENSG00000248458	-	protein_coding	 
nup153_broad_peak_1280	chr1	68588269	68589287	1019	6.74	442.304	385.154	213.921	GENE	0	chr1	68297986	68668670	GNG12-AS1	ENSG00000232284	+	antisense	 
nup153_broad_peak_1280	chr1	68588269	68589287	1019	6.74	442.304	385.154	213.921	GENE	0	chr1	68564142	68698803	WLS	ENSG00000116729	-	protein_coding	 
nup153_broad_peak_1281	chr1	68629644	68630759	1116	8.91	549.761	42.764	304.083	GENE	0	chr1	68297986	68668670	GNG12-AS1	ENSG00000232284	+	antisense	 
nup153_broad_peak_1281	chr1	68629644	68630759	1116	8.91	549.761	42.764	304.083	GENE	0	chr1	68564142	68698803	WLS	ENSG00000116729	-	protein_coding	 
nup153_broad_peak_1297	chr1	70705349	70706463	1115	13.43	597.916	386.525	350.798	GENE	0	chr1	70671365	70718735	SRSF11	ENSG00000116754	+	protein_coding	 
nup153_broad_peak_13031	chr15	81812097	81813208	1112	9.36	697.536	515.453	42.828	GENE	0	chr15	81719789	82047558	CTD-2034I4.1	ENSG00000259543	+	lincRNA	 
nup153_broad_peak_13070	chr15	84282741	84283784	1044	8.69	615.645	48.195	357.404	GENE	0	chr15	84115980	84287495	SH3GL3	ENSG00000140600	+	protein_coding	 
nup153_broad_peak_13113	chr15	87026039	87027207	1169	7.88	554.889	441.933	308.784	GENE	0	chr15	86685227	87572283	AGBL1	ENSG00000166748	+	protein_coding	 
nup153_broad_peak_13116	chr15	87218418	87219498	1081	9.86	757.319	540.581	482.604	GENE	0	chr15	86685227	87572283	AGBL1	ENSG00000166748	+	protein_coding	 
nup153_broad_peak_13244	chr15	94389267	94390358	1092	6.7	440.001	38.328	212.394	GENE	0	chr15	94261771	94614049	CTD-3049M7.1	ENSG00000258754	-	lincRNA	 
nup153_broad_peak_13244	chr15	94389267	94390358	1092	6.7	440.001	38.328	212.394	GENE	0	chr15	94380840	94396210	RP11-76E17.2	ENSG00000259123	-	lincRNA	 
nup153_broad_peak_13251	chr15	94825584	94826756	1173	17.68	601.508	336.235	349.173	GENE	0	chr15	94774767	95023632	MCTP2	ENSG00000140563	+	protein_coding	 
nup153_broad_peak_1356	chr1	77807052	77808097	1046	21.1	105.277	511.437	742.975	GENE	0	chr1	77747736	78025651	AK5	ENSG00000154027	+	protein_coding	 
nup153_broad_peak_13996	chr16	31745760	31746931	1172	16.45	152.955	86.816	117.841	GENE	0	chr16	31724550	31806190	ZNF720	ENSG00000197302	+	protein_coding	 
nup153_broad_peak_14021	chr16	33393810	33394917	1108	12.25	838.803	535.954	560.423	GENE	0	chr16	33390406	33425011	RP11-293B20.2	ENSG00000259882	+	pseudogene	 
nup153_broad_peak_1406	chr1	82346672	82347707	1036	20.7	208.059	108.024	16.882	GENE	0	chr1	81771845	82458120	LPHN2	ENSG00000117114	+	protein_coding	 
nup153_broad_peak_14064	chr16	34978723	34980012	1290	8.08	566.402	452.126	316.565	GENE	0	chr16	34977639	34990886	5S_rRNA	ENSG00000261122	+	lincRNA	 
nup153_broad_peak_1411	chr1	84651755	84652769	1015	18.42	111.517	582.879	804.355	GENE	0	chr1	84543745	84704181	PRKACB	ENSG00000142875	+	protein_coding	 
nup153_broad_peak_1413	chr1	85095968	85097158	1191	8.89	631.085	486.237	374.221	GENE	0	chr1	85093913	85100703	C1orf180	ENSG00000180869	-	protein_coding	 
nup153_broad_peak_1423	chr1	86003870	86004897	1028	15.49	830.577	480.481	554.547	GENE	0	chr1	85784164	86043933	DDAH1	ENSG00000153904	-	protein_coding	 
nup153_broad_peak_14240	chr16	55726861	55728982	2122	8.95	629.594	477.677	369.581	GENE	0	chr16	55689516	55740104	SLC6A2	ENSG00000103546	+	protein_coding	 
nup153_broad_peak_14332	chr16	62004393	62006109	1717	6.59	424.042	375.075	200.536	GENE	0	chr16	61681146	62070939	CDH8	ENSG00000150394	-	protein_coding	 
nup153_broad_peak_14335	chr16	62032021	62033037	1017	11.99	986.733	646.374	684.459	GENE	0	chr16	61681146	62070939	CDH8	ENSG00000150394	-	protein_coding	 
nup153_broad_peak_14535	chr16	74170615	74171709	1095	8.56	608.149	475.596	353.876	GENE	0	chr16	74088050	74330660	AC009120.4	ENSG00000261404	-	lincRNA	 
nup153_broad_peak_14580	chr16	76159104	76160155	1052	9.04	657.163	499.423	396.975	GENE	0	chr16	76141181	76181704	RP11-293N14.1	ENSG00000260223	-	lincRNA	 
nup153_broad_peak_1467	chr1	89442009	89443935	1927	6.87	453.933	390.083	224.351	GENE	0	chr1	89401456	89458636	CCBL2	ENSG00000137944	-	protein_coding	 
nup153_broad_peak_15061	chr17	13809762	13810816	1055	20.11	201.346	105.057	162.449	GENE	0	chr17	13659795	13972812	COX10-AS1	ENSG00000236088	-	processed_transcript	 
nup153_broad_peak_1521	chr1	92688751	92689771	1021	15.36	105.832	627.153	748.322	GENE	0	chr1	92683497	92711370	C1orf146	ENSG00000203910	+	protein_coding	 
nup153_broad_peak_15720	chr17	50007970	50009071	1102	13.3	112.758	711.665	809.205	GENE	0	chr17	49707674	50237377	CA10	ENSG00000154975	-	protein_coding	 
nup153_broad_peak_1584	chr1	99147375	99149347	1973	7.92	544.265	441.654	300.398	GENE	0	chr1	99127236	99226056	SNX7	ENSG00000162627	+	protein_coding	 
nup153_broad_peak_1589	chr1	99559914	99561015	1102	6.81	449.824	388.963	219.978	GENE	0	chr1	99469832	99614408	RP5-896L10.1	ENSG00000232825	+	antisense	 
nup153_broad_peak_1598	chr1	100331264	100332382	1119	9.38	42.317	346.593	203.289	GENE	0	chr1	100315640	100389579	AGL	ENSG00000162688	+	protein_coding	 
nup153_broad_peak_1616	chr1	101360228	101361628	1401	19.36	107.158	506.206	772.154	GENE	0	chr1	101337943	101361554	EXTL2	ENSG00000162694	-	protein_coding	 
nup153_broad_peak_1616	chr1	101360228	101361628	1401	19.36	107.158	506.206	772.154	GENE	0	chr1	101360484	101360912	RP4-549L20.3	ENSG00000273204	+	antisense	 
nup153_broad_peak_16350	chr18	1055396	1056533	1138	7.13	482.211	403.968	246.967	GENE	0	chr18	976590	1174824	RP11-78F17.1	ENSG00000263551	+	lincRNA	 
nup153_broad_peak_16393	chr18	5243448	5244701	1254	7.25	491.868	410.682	253.946	GENE	0	chr18	5232875	5246507	LINC00667	ENSG00000263753	+	lincRNA	 
nup153_broad_peak_16411	chr18	5852663	5853887	1225	20.49	171.435	775.317	138.187	GENE	0	chr18	5748818	5876327	RP11-945C19.1	ENSG00000261738	+	lincRNA	 
nup153_broad_peak_16442	chr18	7733857	7734953	1097	10.41	641.805	465.524	38.259	GENE	0	chr18	7566780	8406859	PTPRM	ENSG00000173482	+	protein_coding	 
nup153_broad_peak_16446	chr18	8024330	8025335	1006	11.49	941.965	621.792	643.891	GENE	0	chr18	7566780	8406859	PTPRM	ENSG00000173482	+	protein_coding	 
nup153_broad_peak_16568	chr18	18671955	18673205	1251	12.92	111.067	69.289	799.767	GENE	0	chr18	18526867	18691812	ROCK1	ENSG00000067900	-	protein_coding	 
nup153_broad_peak_16576	chr18	18961365	18962415	1051	10.93	840.803	574.125	557.945	GENE	0	chr18	18822203	19105378	GREB1L	ENSG00000141449	+	protein_coding	 
nup153_broad_peak_16576	chr18	18961365	18962415	1051	10.93	840.803	574.125	557.945	GENE	0	chr18	18960247	19030978	RP11-296E23.1	ENSG00000265751	-	antisense	 
nup153_broad_peak_16623	chr18	21868137	21869508	1372	15.86	798.838	437.783	525.879	GENE	0	chr18	21742008	21977844	OSBPL1A	ENSG00000141447	-	protein_coding	 
nup153_broad_peak_16636	chr18	22528333	22529436	1104	14.7	13.144	781.305	978.969	GENE	0	chr18	22513451	22567646	RP11-958F21.1	ENSG00000264345	-	lincRNA	 
nup153_broad_peak_16719	chr18	29238544	29239615	1072	10.25	486.157	361.177	253.098	GENE	0	chr18	29202210	29265799	B4GALT6	ENSG00000118276	-	protein_coding	 
nup153_broad_peak_16750	chr18	31749618	31750756	1139	9.1	480.638	382.721	248.221	GENE	0	chr18	31431064	31804916	NOL4	ENSG00000101746	-	protein_coding	 
nup153_broad_peak_16790	chr18	34721828	34722948	1121	9.71	517.504	38.777	281.178	GENE	0	chr18	34409069	34812135	KIAA1328	ENSG00000150477	+	protein_coding	 
nup153_broad_peak_16815	chr18	37134863	37135893	1031	11.59	927.378	626.598	629.547	GENE	0	chr18	36786888	37380282	LINC00669	ENSG00000267374	-	lincRNA	 
nup153_broad_peak_16880	chr18	42932187	42934011	1825	7.54	426.948	360.385	203.972	GENE	0	chr18	42792960	43263072	SLC14A2	ENSG00000132874	+	protein_coding	 
nup153_broad_peak_16991	chr18	50318665	50319856	1192	16.01	811.057	459.217	531.497	GENE	0	chr18	49866542	51057784	DCC	ENSG00000187323	+	protein_coding	 
nup153_broad_peak_17050	chr18	55429059	55430433	1375	13.43	671.548	430.021	408.228	GENE	0	chr18	55313658	55470333	ATP8B1	ENSG00000081923	-	protein_coding	 
nup153_broad_peak_17103	chr18	59206847	59208228	1382	6.89	450.909	387.489	223.273	GENE	0	chr18	59000815	59223006	CDH20	ENSG00000101542	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_17129	chr18	60634275	60635668	1394	9.33	645.474	485.224	388.634	GENE	0	chr18	60382672	60647666	PHLPP1	ENSG00000081913	+	protein_coding	 
nup153_broad_peak_17208	chr18	70910606	70911607	1002	21.19	130.559	610.602	980.179	GENE	0	chr18	70818476	70931715	RP11-169F17.1	ENSG00000263711	-	protein_coding	 
nup153_broad_peak_17233	chr18	72673138	72674230	1093	11.52	809.359	551.724	527.462	GENE	0	chr18	72265106	72777627	ZNF407	ENSG00000215421	+	protein_coding	 
nup153_broad_peak_1735	chr1	111729710	111730729	1020	20.88	182.264	896.004	145.378	GENE	0	chr1	111729796	111747157	DENND2D	ENSG00000162777	-	protein_coding	 
nup153_broad_peak_17771	chr19	19991862	19993148	1287	8.57	616.331	476.111	364.105	GENE	0	chr19	19976695	20005483	ZNF253	ENSG00000256771	+	protein_coding	 
nup153_broad_peak_17775	chr19	20368105	20370402	2298	19.41	631.505	327.646	385.261	GENE	0	chr19	20236186	20432114	CTC-260E6.6	ENSG00000267383	-	antisense	 
nup153_broad_peak_17775	chr19	20368105	20370402	2298	19.41	631.505	327.646	385.261	GENE	0	chr19	20368529	20370227	AC078899.1	ENSG00000213985	+	pseudogene	 
nup153_broad_peak_17779	chr19	20695711	20696747	1037	11.15	891.245	60.486	601.634	GENE	0	chr19	20615358	20711421	CTC-513N18.6	ENSG00000269043	+	lincRNA	 
nup153_broad_peak_17784	chr19	20933250	20935330	2081	7.62	518.573	428.934	278.343	GENE	0	chr19	20929729	20938056	CTD-2626G11.2	ENSG00000268416	-	lincRNA	 
nup153_broad_peak_17807	chr19	22260420	22261573	1154	8.94	600.744	450.967	350.169	GENE	0	chr19	22235254	22274282	ZNF257	ENSG00000197134	+	protein_coding	 
nup153_broad_peak_17821	chr19	23424748	23425845	1098	13.19	823.535	52.629	540.056	GENE	0	chr19	23404401	23433192	ZNF724P	ENSG00000196081	-	protein_coding	 
nup153_broad_peak_17834	chr19	24244287	24245856	1570	15.42	540.663	328.816	299.004	GENE	0	chr19	24216247	24249711	CTD-2017D11.1	ENSG00000268362	+	lincRNA	 
nup153_broad_peak_17834	chr19	24244287	24245856	1570	15.42	540.663	328.816	299.004	GENE	0	chr19	24216276	24312654	ZNF254	ENSG00000213096	+	protein_coding	 
nup153_broad_peak_18051	chr19	36856200	36857489	1290	8.56	605.602	47.574	3.518	GENE	0	chr19	36827162	36870101	ZFP14	ENSG00000142065	-	protein_coding	 
nup153_broad_peak_18063	chr19	37680841	37682094	1254	14.7	665.269	427.583	404.681	GENE	0	chr19	37583921	37701414	CTC-454I21.3	ENSG00000267360	-	protein_coding	 
nup153_broad_peak_18063	chr19	37680841	37682094	1254	14.7	665.269	427.583	404.681	GENE	0	chr19	37672481	37709055	ZNF585B	ENSG00000245680	-	protein_coding	 
nup153_broad_peak_18064	chr19	37721496	37722592	1097	12.11	998.236	650.391	699.151	GENE	0	chr19	37708828	37734828	ZNF383	ENSG00000188283	+	protein_coding	 
nup153_broad_peak_18066	chr19	37819413	37820449	1037	10.18	700.127	514.097	431.305	GENE	0	chr19	37803739	37860267	HKR1	ENSG00000181666	+	protein_coding	 
nup153_broad_peak_1814	chr1	116561912	116562921	1010	8.97	502.029	38.994	26.558	GENE	0	chr1	116519119	116612675	SLC22A15	ENSG00000163393	+	protein_coding	 
nup153_broad_peak_18222	chr19	44720765	44721768	1004	13	767.579	506.809	490.906	GENE	0	chr19	44711700	44741421	ZNF227	ENSG00000131115	+	protein_coding	 
nup153_broad_peak_18224	chr19	44749535	44750754	1220	15.35	562.161	348.196	315.661	GENE	0	chr19	44732882	44809199	ZNF235	ENSG00000159917	-	protein_coding	 
nup153_broad_peak_18408	chr19	53051080	53052121	1042	13.33	862.035	543.136	578.135	GENE	0	chr19	53030905	53067717	ZNF808	ENSG00000198482	+	protein_coding	 
nup153_broad_peak_18428	chr19	54172115	54173501	1387	9.42	44.673	36.112	221.372	GENE	0	chr19	54172411	54172508	MIR512-2	ENSG00000207644	+	miRNA	 
nup153_broad_peak_18430	chr19	54260626	54261722	1097	9.32	581.021	447.068	332.237	GENE	0	chr19	54261123	54261223	AC011453.1	ENSG00000265569	+	miRNA	 
nup153_broad_peak_18430	chr19	54260626	54261722	1097	9.32	581.021	447.068	332.237	GENE	0	chr19	54261486	54261572	MIR1283-2	ENSG00000221548	+	miRNA	 
nup153_broad_peak_18478	chr19	56387200	56388327	1128	18.16	893.664	480.823	604.468	GENE	0	chr19	56347944	56393220	NLRP4	ENSG00000160505	+	protein_coding	 
nup153_broad_peak_18489	chr19	56862907	56864001	1095	7.19	492.101	407.651	255.383	GENE	0	chr19	56732681	56879752	ZSCAN5A	ENSG00000131848	-	protein_coding	 
nup153_broad_peak_18491	chr19	56962643	56963742	1100	8.47	59.905	470.646	346.092	GENE	0	chr19	56950694	56989434	ZNF667	ENSG00000198046	-	protein_coding	 
nup153_broad_peak_18520	chr19	58775290	58776429	1140	14.23	766.364	463.285	492.169	GENE	0	chr19	58739960	58788815	ZNF544	ENSG00000198131	+	protein_coding	 
nup153_broad_peak_18520	chr19	58775290	58776429	1140	14.23	766.364	463.285	492.169	GENE	0	chr19	58740831	58798173	CTD-3138B18.4	ENSG00000269545	+	protein_coding	 
nup153_broad_peak_18520	chr19	58775290	58776429	1140	14.23	766.364	463.285	492.169	GENE	0	chr19	58768639	58790174	CTD-3138B18.5	ENSG00000268516	-	antisense	 
nup153_broad_peak_18521	chr19	58776959	58778126	1168	12.97	984.894	613.948	691.255	GENE	0	chr19	58739960	58788815	ZNF544	ENSG00000198131	+	protein_coding	 
nup153_broad_peak_18521	chr19	58776959	58778126	1168	12.97	984.894	613.948	691.255	GENE	0	chr19	58740831	58798173	CTD-3138B18.4	ENSG00000269545	+	protein_coding	 
nup153_broad_peak_18521	chr19	58776959	58778126	1168	12.97	984.894	613.948	691.255	GENE	0	chr19	58768639	58790174	CTD-3138B18.5	ENSG00000268516	-	antisense	 
nup153_broad_peak_18521	chr19	58776959	58778126	1168	12.97	984.894	613.948	691.255	GENE	0	chr19	58778001	58779051	CTD-3138B18.6	ENSG00000268201	+	sense_intronic	 
nup153_broad_peak_1855	chr1	119754661	119755756	1096	7.46	466.578	393.303	238.198	GENE	0	chr1	119683019	119818596	RP11-418J17.1	ENSG00000231365	+	antisense	 
nup153_broad_peak_18709	chr2	11999792	12000798	1007	11.54	909.406	623.976	612.724	GENE	0	chr2	11988748	12718474	AC096559.1	ENSG00000224184	+	lincRNA	 
nup153_broad_peak_18722	chr2	12658323	12659928	1606	7.56	443.189	371.188	216.104	GENE	0	chr2	11988748	12718474	AC096559.1	ENSG00000224184	+	lincRNA	 
nup153_broad_peak_18738	chr2	14426033	14427039	1007	17.33	161.049	912.477	124.962	GENE	0	chr2	13850656	14541087	LINC00276	ENSG00000230448	-	lincRNA	 
nup153_broad_peak_18739	chr2	14456062	14457086	1025	11.38	618.891	438.746	364.484	GENE	0	chr2	13850656	14541087	LINC00276	ENSG00000230448	-	lincRNA	R1_R2_R3_10kb
nup153_broad_peak_18780	chr2	16794884	16796347	1464	7.34	434.306	369.321	212.859	GENE	0	chr2	16730727	16847599	FAM49A	ENSG00000197872	-	protein_coding	 
nup153_broad_peak_18805	chr2	19440179	19441273	1095	10.05	571.843	417.973	326.352	GENE	0	chr2	19167729	19546509	AC092594.1	ENSG00000236204	-	lincRNA	 
nup153_broad_peak_18837	chr2	20983159	20984198	1040	15.51	140.298	821.776	106.047	GENE	0	chr2	20883788	21022882	C2orf43	ENSG00000118961	-	protein_coding	 
nup153_broad_peak_18843	chr2	21608145	21609269	1125	15.31	131.941	771.242	99.005	GENE	0	chr2	21444047	22193831	AC067959.1	ENSG00000233005	+	lincRNA	 
nup153_broad_peak_18843	chr2	21608145	21609269	1125	15.31	131.941	771.242	99.005	GENE	0	chr2	21540532	21784185	AC011752.1	ENSG00000231204	+	lincRNA	 
nup153_broad_peak_18849	chr2	22418401	22419759	1359	7.76	488.178	396.567	254.915	GENE	0	chr2	22156208	22753977	AC068490.2	ENSG00000231200	-	lincRNA	 
nup153_broad_peak_19001	chr2	29659529	29660596	1068	13.32	738.749	475.906	4.703	GENE	0	chr2	29415640	30144432	ALK	ENSG00000171094	-	protein_coding	 
nup153_broad_peak_1908	chr1	142802735	142803752	1018	20.95	146.959	699.202	113.066	GENE	0	chr1	142803224	142816004	RP11-423O2.5	ENSG00000234978	-	lincRNA	 
nup153_broad_peak_1908	chr1	142802735	142803752	1018	20.95	146.959	699.202	113.066	GENE	0	chr1	142803532	142827235	ANKRD20A14P	ENSG00000232745	+	pseudogene	 
nup153_broad_peak_19097	chr2	40022539	40023611	1073	15.32	13.881	812.458	104.938	GENE	0	chr2	40013593	40482349	SLC8A1-AS1	ENSG00000227028	+	antisense	 
nup153_broad_peak_19098	chr2	40513241	40514300	1060	13.65	927.482	564.286	63.796	GENE	0	chr2	40324410	40838193	SLC8A1	ENSG00000183023	-	protein_coding	 
nup153_broad_peak_19211	chr2	53859798	53860869	1072	9.72	60.144	45.125	350.591	GENE	0	chr2	53759810	54087170	GPR75-ASB3	ENSG00000115239	-	protein_coding	 
nup153_broad_peak_19513	chr2	72441582	72443440	1859	7.16	439.007	375.174	213.373	GENE	0	chr2	72403113	73053170	EXOC6B	ENSG00000144036	-	protein_coding	 
nup153_broad_peak_19576	chr2	77126586	77127682	1097	7.76	549.633	435.831	302.665	GENE	0	chr2	76974845	77820445	LRRTM4	ENSG00000176204	-	protein_coding	 
